SiteID,Easting,Northing,Location,Borough,FunctionalCyclingArea,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2024 to 2025,2019 to 2025,2015 to 2025
ML0001,530251.49,178742.45,Millbank (south of Thorney Street),Westminster,Central,4809,5646,7205,6068,5990,6924,5074,8927,7148,6423,7836,22%,31%,63%
ML0002,533362.68,181824.45,Bishopsgate,City of London,Central,5470,5752,4942,5641,5545,5613,6261,7565,7705,11129,9910,-11%,79%,81%
ML0003,532334.06,180520.37,Southwark Bridge,Southwark,Central,3922,3509,4605,5894,4807,2525,2414,4132,3322,5313,6434,21%,34%,64%
ML0004,532052.5,179677.64,Southwark Bridge Road,Southwark,Central,2977,2164,2899,2757,2901,1939,,2995,3087,2877,3582,25%,24%,20%
ML0005,533031.59,180213.46,Tooley Street,Southwark,Central,5335,5091,4501,5432,5291,3510,,8126,8018,10017,9038,-10%,71%,69%
ML0006,532263.5,180067.71,Southwark Bridge Road (north - between Flat Iron Square and America Street),Southwark,Central,2675,2368,3750,3291,4047,2142,2293,3278,2552,4422,4500,2%,11%,68%
ML0007,530467.76,178622.08,Albert Embankment (south of Salamanca Street),Lambeth,Central,4718,4584,3171,4203,3974,2114,2849,4250,4901,4503,4747,5%,20%,1%
ML0008,530347.31,180653.54,Strand,Westminster,Central,4165,3369,3078,2999,3118,2404,2323,3512,3213,3809,4411,16%,42%,6%
ML0009,529990.4,180677.24,Charing Cross Road,Westminster,Central,2858,2919,2191,2379,2615,1655,2852,4035,2662,3587,4236,18%,62%,48%
ML0010,530804.02,179489.31,Lambeth Palace Road,Lambeth,Central,2594,2496,3576,,4269,2814,,3096,3382,4477,5914,32%,39%,128%
ML0011,530147.22,180015.05,Whitehall (south of Horse Guards Avenue),Westminster,Central,4872,4274,4481,4207,3481,3994,3697,5963,3728,5915,5124,-13%,47%,5%
ML0012,530573.64,179657.29,Westminster Bridge,Lambeth,Central,3761,3978,3217,3275,5100,4002,5737,5728,5228,7143,6284,-12%,23%,67%
ML0013,530526.13,180526.32,Victoria Embankment (by Cleopatra's Needle),Westminster,Central,4817,7546,7335,11182,10311,7371,7928,14346,14982,14218,13293,-7%,29%,176%
ML0014,530326.96,179837.81,Victoria Embankment (between Derby Gate and Westminster Bridge),Westminster,Central,4632,5258,7488,5228,5680,6794,5914,9786,7983,11636,10507,-10%,85%,127%
ML0015,530201.66,179250.93,Millbank (north of Great Peter Street),Westminster,Central,6348,6794,7038,9700,7486,6248,4943,8365,8043,8442,10374,23%,39%,63%
ML0016,530398.21,178956.9,Lambeth Bridge,Westminster,Central,4133,4051,3788,4076,3118,2473,2000,3618,3394,4401,4087,-7%,31%,-1%
ML0017,530788.45,180526.51,Waterloo Bridge,Lambeth,Central,7624,8802,8099,8393,8809,3260,5030,8584,8882,10177,10377,2%,18%,36%
ML0018,529919.79,179492.54,Victoria Street,Westminster,Central,1586,1737,2251,2439,2847,2038,2072,8025,3020,3365,3343,-1%,17%,111%
