bike_id,bike_start,bike_end,avg_duration_mins,total_trips,total_duration_hours,total_days_hired
,2017-06-15 12:06:00.000000 UTC,2017-06-29 08:29:00.000000 UTC,341.1538462,15,73.91666667,10
1,2015-01-04 11:48:00.000000 UTC,2022-09-12 20:58:00.000000 UTC,24.78328738,5804,2396.956944,1665
2,2015-01-05 15:59:00.000000 UTC,2022-10-29 20:47:00.000000 UTC,20.76468808,3799,1314.750833,1003
3,2015-01-04 12:21:00.000000 UTC,2016-01-02 03:37:00.000000 UTC,21.10131108,839,295.0666667,237
4,2015-01-06 13:37:00.000000 UTC,2023-01-11 19:29:00.000000 UTC,22.86901606,5357,2041.440833,1486
5,2015-01-05 09:32:00.000000 UTC,2022-11-12 13:49:00.000000 UTC,22.41891211,5886,2199.295278,1665
6,2015-01-06 20:01:00.000000 UTC,2023-01-15 15:46:00.000000 UTC,20.26969514,4964,1676.979444,1411
7,2015-01-05 20:59:00.000000 UTC,2022-09-17 17:12:00.000000 UTC,19.86389826,2669,882.9502778,733
8,2015-01-13 09:11:00.000000 UTC,2022-09-08 19:06:00.000000 UTC,22.96641726,6148,2353.292222,1711
9,2015-01-04 14:03:00.000000 UTC,2020-12-12 11:26:00.000000 UTC,22.41291175,4920,1837.111667,1396
10,2015-01-06 17:33:00.000000 UTC,2019-10-05 16:28:00.000000 UTC,19.92922845,3982,1321.64,1070
13,2015-01-04 15:10:00.000000 UTC,2020-10-11 16:19:00.000000 UTC,21.16886285,5077,1791.238611,1368
14,2015-01-15 12:32:00.000000 UTC,2017-08-18 12:16:00.000000 UTC,22.53070042,1979,741.6355556,528
15,2015-01-04 05:51:00.000000 UTC,2019-09-08 15:02:00.000000 UTC,18.61220238,3472,1077.026111,964
16,2015-01-05 10:29:00.000000 UTC,2022-07-28 07:58:00.000000 UTC,21.26666667,4705,1667.306667,1336
17,2015-01-11 12:54:00.000000 UTC,2022-09-09 16:45:00.000000 UTC,20.04311005,5839,1949.860556,1512
18,2015-01-04 11:47:00.000000 UTC,2021-07-11 19:32:00.000000 UTC,21.50111729,5760,2063.390556,1464
19,2015-01-07 16:35:00.000000 UTC,2022-09-04 18:14:00.000000 UTC,20.27155503,4613,1558.544722,1250
20,2015-01-05 19:19:00.000000 UTC,2022-09-09 18:30:00.000000 UTC,21.44588263,5580,1993.752222,1577
21,2015-01-04 19:47:00.000000 UTC,2022-07-27 12:54:00.000000 UTC,20.6106488,5709,1960.759722,1559
22,2015-01-12 07:59:00.000000 UTC,2022-07-10 13:04:00.000000 UTC,21.53178301,5776,2071.716389,1590
23,2015-01-05 08:10:00.000000 UTC,2019-04-11 09:35:00.000000 UTC,21.16851199,2840,1000.565,771
24,2015-01-04 01:08:00.000000 UTC,2021-08-02 14:27:00.000000 UTC,23.52206698,4511,1767.683333,1203
25,2015-01-04 12:48:00.000000 UTC,2022-06-16 21:30:00.000000 UTC,20.81426543,5400,1873.283889,1531
26,2015-01-05 16:57:00.000000 UTC,2020-06-13 15:49:00.000000 UTC,25.09554716,4369,1826.955833,1219
27,2015-01-06 13:22:00.000000 UTC,2021-01-23 17:07:00.000000 UTC,25.83655815,4363,1878.317778,1231
28,2015-01-05 08:42:00.000000 UTC,2022-04-26 09:06:00.000000 UTC,22.47835382,3742,1401.9,1039
29,2015-01-05 07:30:00.000000 UTC,2022-09-06 07:54:00.000000 UTC,22.70444444,5913,2236.387778,1605
30,2015-01-04 14:29:00.000000 UTC,2021-03-11 19:25:00.000000 UTC,23.22499257,4486,1735.681111,1195
31,2015-01-04 18:34:00.000000 UTC,2017-04-09 15:31:00.000000 UTC,21.76051948,1925,698.15,508
32,2015-01-04 21:37:00.000000 UTC,2018-09-13 08:25:00.000000 UTC,21.95926765,3311,1211.053611,886
33,2015-01-04 12:18:00.000000 UTC,2022-08-07 15:34:00.000000 UTC,24.35847968,5809,2357.900833,1627
34,2015-07-18 17:38:00.000000 UTC,2021-02-13 15:10:00.000000 UTC,19.90429915,4753,1575.425278,1285
35,2015-01-04 16:22:00.000000 UTC,2020-01-15 20:52:00.000000 UTC,19.12432829,4095,1304.916667,1143
36,2015-01-05 07:03:00.000000 UTC,2021-01-29 20:02:00.000000 UTC,21.38077329,4733,1686.586667,1345
37,2015-01-15 09:29:00.000000 UTC,2018-04-04 12:11:00.000000 UTC,29.76329238,2036,1009.471667,568
38,2015-01-04 11:36:00.000000 UTC,2022-04-16 14:18:00.000000 UTC,22.65711436,5684,2145.251111,1563
39,2015-01-06 11:38:00.000000 UTC,2022-09-09 12:31:00.000000 UTC,20.91667153,6859,2391.124167,1821
40,2015-01-05 17:18:00.000000 UTC,2017-04-11 13:47:00.000000 UTC,21.53039598,1793,643.4,504
41,2015-01-05 08:29:00.000000 UTC,2022-07-21 13:24:00.000000 UTC,23.205918,5611,2169.753333,1573
42,2015-01-07 08:15:00.000000 UTC,2020-12-26 08:29:00.000000 UTC,20.90882722,5046,1758.083889,1335
43,2015-01-05 05:38:00.000000 UTC,2022-07-19 12:44:00.000000 UTC,21.54085255,6245,2241.684722,1717
44,2015-01-06 18:07:00.000000 UTC,2020-12-19 11:59:00.000000 UTC,21.46378627,4629,1655.931111,1282
45,2015-01-05 22:10:00.000000 UTC,2020-10-18 01:37:00.000000 UTC,21.20080878,5094,1798.535278,1356
46,2015-01-05 04:00:00.000000 UTC,2022-02-22 21:35:00.000000 UTC,21.05649872,4943,1734.353611,1385
49,2015-04-01 15:21:00.000000 UTC,2021-03-05 18:30:00.000000 UTC,22.20147126,5110,1890.455278,1405
50,2015-01-04 03:39:00.000000 UTC,2020-04-06 17:38:00.000000 UTC,19.85676109,3742,1238.4,966
51,2015-01-06 09:47:00.000000 UTC,2022-07-14 14:12:00.000000 UTC,21.58087394,5828,2096.222222,1612
52,2015-01-05 09:04:00.000000 UTC,2022-08-07 14:45:00.000000 UTC,21.85657923,6139,2235.928056,1651
53,2015-01-04 10:37:00.000000 UTC,2018-05-21 10:48:00.000000 UTC,18.88951444,2541,799.6561111,687
54,2015-01-04 18:50:00.000000 UTC,2017-05-16 16:12:00.000000 UTC,21.19906201,1919,678.0166667,521
55,2015-01-04 18:04:00.000000 UTC,2022-09-06 17:39:00.000000 UTC,21.67982092,5789,2091.741389,1615
56,2015-01-04 15:56:00.000000 UTC,2015-03-07 17:28:00.000000 UTC,17.35028249,177,51.18333333,43
57,2015-01-04 18:42:00.000000 UTC,2015-10-09 19:10:00.000000 UTC,21.70318021,566,204.7333333,141
58,2015-01-10 09:03:00.000000 UTC,2022-08-15 13:34:00.000000 UTC,21.35320685,5959,2119.661667,1680
59,2015-01-05 10:04:00.000000 UTC,2016-07-12 08:04:00.000000 UTC,19.80215232,1208,398.6833333,346
60,2015-01-05 18:16:00.000000 UTC,2022-03-28 18:39:00.000000 UTC,20.93927487,5600,1953.983333,1563
61,2015-01-06 08:32:00.000000 UTC,2021-04-07 17:06:00.000000 UTC,22.49193866,5088,1906.566667,1391
64,2015-02-11 08:53:00.000000 UTC,2020-11-20 17:29:00.000000 UTC,21.97032538,4692,1718.079444,1153
66,2015-01-05 13:57:00.000000 UTC,2022-07-10 14:28:00.000000 UTC,19.42881148,5715,1849.946667,1613
67,2015-01-05 17:54:00.000000 UTC,2022-05-31 01:33:00.000000 UTC,21.64895559,5314,1917.375833,1478
69,2015-01-04 12:18:00.000000 UTC,2021-02-20 12:25:00.000000 UTC,20.58661392,4173,1431.112778,1161
71,2015-01-04 16:09:00.000000 UTC,2020-10-11 12:57:00.000000 UTC,24.61458293,5131,2103.316111,1375
72,2015-01-05 17:52:00.000000 UTC,2022-09-09 09:34:00.000000 UTC,20.90195597,6315,2199.5825,1697
73,2015-01-06 02:53:00.000000 UTC,2022-05-14 11:54:00.000000 UTC,22.34067984,5717,2128.694444,1609
74,2015-01-09 06:19:00.000000 UTC,2022-09-07 23:45:00.000000 UTC,24.46338145,5820,2372.540278,1645
75,2015-01-05 20:13:00.000000 UTC,2022-05-14 15:30:00.000000 UTC,30.95910097,4516,2330.188333,1350
76,2015-01-05 07:31:00.000000 UTC,2021-01-29 18:25:00.000000 UTC,27.78030456,4950,2290.486111,1369
77,2015-01-05 18:07:00.000000 UTC,2022-02-12 11:00:00.000000 UTC,21.61475912,6151,2215.873056,1687
78,2015-01-08 19:28:00.000000 UTC,2022-03-29 06:51:00.000000 UTC,22.21246442,5153,1907.310278,1493
79,2015-01-04 00:23:00.000000 UTC,2021-10-31 01:58:00.000000 UTC,24.13106141,4717,1897.103611,1400
80,2015-01-04 11:29:00.000000 UTC,2022-04-27 12:04:00.000000 UTC,22.39926423,4621,1725.116667,1325
81,2015-01-05 12:05:00.000000 UTC,2022-09-09 10:32:00.000000 UTC,23.2910936,5775,2240.991389,1618
82,2015-01-04 11:55:00.000000 UTC,2015-05-28 17:17:00.000000 UTC,17.33467742,496,143.3,115
83,2015-01-05 08:17:00.000000 UTC,2021-03-08 07:38:00.000000 UTC,21.23912919,4671,1653.112222,1322
85,2015-01-05 16:27:00.000000 UTC,2021-08-07 02:29:00.000000 UTC,21.27780216,5469,1939.471667,1489
